iter	Passed	Remaining
905	18919	1962
906	18938	1941
907	18958	1920
908	18979	1899
909	18998	1879
910	19018	1858
911	19039	1837
912	19059	1816
913	19078	1795
914	19098	1774
915	19118	1753
916	19139	1732
917	19159	1711
918	19179	1690
919	19199	1669
920	19220	1648
921	19247	1628
922	19267	1607
923	19288	1586
924	19309	1565
925	19330	1544
926	19352	1523
927	19376	1503
928	19397	1482
929	19419	1461
930	19442	1440
931	19465	1420
932	19489	1399
933	19516	1379
934	19544	1358
935	19571	1338
936	19592	1317
937	19613	1296
938	19636	1275
939	19657	1254
940	19680	1233
941	19704	1213
942	19728	1192
943	19749	1171
944	19770	1150
945	19792	1129
946	19815	1109
947	19836	1088
948	19856	1067
949	19876	1046
950	19900	1025
951	19921	1004
952	19941	983
953	19962	962
954	19986	941
955	20007	920
956	20028	899
957	20053	879
958	20076	858
959	20099	837
960	20121	816
961	20141	795
962	20161	774
963	20185	753
964	20204	732
965	20224	711
966	20248	690
967	20269	670
968	20289	649
969	20309	628
970	20331	607
971	20350	586
972	20372	565
973	20393	544
974	20413	523
975	20434	502
976	20457	481
977	20482	460
978	20504	439
979	20525	418
980	20548	397
981	20570	377
982	20591	356
983	20612	335
984	20633	314
985	20655	293
986	20679	272
987	20699	251
988	20719	230
989	20739	209
990	20760	188
991	20780	167
992	20800	146
993	20820	125
994	20844	104
995	20864	83
996	20884	62
997	20906	41
998	20927	20
999	20947	0
