,MARKET_TYPE,USER_TYPE,PRICE,AREA,ROOMS_NUM,BUILD_YEAR,FLOOR_NUMBER,BUILDING_FLOORS_NUM,BUILDING_MATERIAL,BUILDING_OWNERSHIP,BUILDING_TYPE,CONSTRUCTION_STATUS,EXTRAS_TYPES,WINDOWS_TYPE,HEATING,SECURITY_TYPES,PRICE_PER_M2,DISTANCE_FROM_CITY_CENTER_KM,RESIDENTIAL_AREA,DISTRICT
3391,secondary,agency,575000.0,73.0,4,1987.0,floor_4,11.0,concrete_plate,co_operative_ownership_with_a_land_and_mortgage_registe,block,ready_to_use,"balcony, basement, lift, separate_kitchen",plastic,urban,"anti_burglary_door, entryphone",7876.71,3.24,Muchobór Mały,Fabryczna
3392,primary,agency,778028.0,82.77,4,2021.0,floor_1,1.0,unknown,full_ownership,house,to_completion,"garage, garden, terrace",plastic,gas,closed_area,9399.88,10.22,Jerzmanowo-Jarnołtów-Strachowice-Osiniec,Fabryczna
3393,primary,agency,1370600.0,92.2,4,2023.0,floor_6,6.0,unknown,full_ownership,unknown,unknown,"balcony, garage, lift, separate_kitchen",plastic,urban,entryphone,14865.51,1.19,Nadodrze,Śródmieście
3394,primary,agency,974500.0,78.1,5,2023.0,floor_1,4.0,unknown,full_ownership,unknown,unknown,"balcony, garage, lift, separate_kitchen",plastic,urban,entryphone,12477.59,6.62,Swojczyce-Strachocin-Wojnów,Psie Pole
3395,primary,agency,653400.0,50.8,2,2024.0,floor_1,6.0,unknown,full_ownership,unknown,unknown,"garage, lift",plastic,urban,monitoring,12862.2,1.43,Ołbin,Śródmieście
3396,primary,agency,589000.0,69.22,4,2022.0,floor_1,3.0,other,full_ownership,block,to_completion,"balcony, garage, lift",plastic,urban,"anti_burglary_door, closed_area, entryphone, monitoring, roller_shutters",8509.1,4.03,Kleczków,Psie Pole
3397,secondary,agency,630000.0,55.82,3,1920.0,floor_1,4.0,unknown,full_ownership,tenement,unknown,basement,plastic,gas,alarm,11286.28,3.44,Zacisze-Zalesie-Szczytniki,Śródmieście
3398,secondary,agency,319000.0,26.1,1,1970.0,floor_6,10.0,concrete_plate,full_ownership,block,unknown,"balcony, basement, lift",plastic,urban,entryphone,12222.22,4.38,Grabiszyn-Grabiszynek,Fabryczna
3399,secondary,agency,509000.0,52.0,2,2008.0,floor_2,2.0,unknown,full_ownership,unknown,unknown,"balcony, usable_room",unknown,unknown,0,9788.46,8.06,Żerniki,Fabryczna
3400,secondary,agency,580000.0,57.36,2,1894.0,floor_4,5.0,brick,full_ownership,tenement,unknown,basement,plastic,gas,"anti_burglary_door, entryphone",10111.58,1.58,Ołbin,Śródmieście
3401,secondary,agency,639000.0,47.83,2,2017.0,floor_8,8.0,other,full_ownership,block,unknown,"air_conditioning, balcony, lift",plastic,urban,"anti_burglary_door, entryphone",13359.82,2.59,Szczepin,Stare Miasto
3402,secondary,agency,499000.0,50.52,2,2018.0,floor_2,4.0,unknown,full_ownership,block,unknown,"balcony, lift",plastic,boiler_room,entryphone,9877.28,10.45,Pracze Odrzańskie,Fabryczna
3403,secondary,agency,729000.0,60.0,3,2020.0,floor_1,5.0,brick,full_ownership,loft,unknown,"balcony, basement, lift",plastic,urban,entryphone,12150.0,4.15,Kleczków,Psie Pole
3404,secondary,agency,699000.0,55.0,3,2008.0,floor_7,8.0,unknown,full_ownership,block,unknown,"balcony, lift",plastic,urban,entryphone,12709.09,2.36,Gajowice,Fabryczna
3405,secondary,agency,599000.0,77.06,3,1960.0,floor_2,4.0,brick,full_ownership,tenement,unknown,"balcony, basement",plastic,gas,"entryphone, roller_shutters",7773.16,2.61,Ołbin,Śródmieście
3406,secondary,agency,499000.0,50.0,2,1938.0,floor_1,2.0,brick,full_ownership,tenement,unknown,"balcony, basement",plastic,gas,"closed_area, entryphone, roller_shutters",9980.0,5.55,Krzyki-Partynice,Krzyki
3407,secondary,agency,829000.0,50.51,3,2021.0,floor_8,8.0,silikat,full_ownership,apartment,unknown,"balcony, garage, lift",plastic,urban,"anti_burglary_door, closed_area, entryphone, monitoring",16412.59,1.58,Powstańców Śląskich,Krzyki
3408,secondary,agency,699000.0,64.84,3,2014.0,floor_1,2.0,unknown,full_ownership,block,unknown,"balcony, garage",plastic,boiler_room,"alarm, closed_area, entryphone, roller_shutters",10780.38,6.43,Ołtaszyn,Krzyki
3409,secondary,agency,499000.0,45.7,2,1985.0,floor_4,4.0,concrete_plate,full_ownership,block,unknown,"balcony, basement",plastic,urban,0,10919.04,1.88,Huby,Krzyki
3410,secondary,agency,579000.0,63.5,3,1960.0,floor_2,2.0,other,full_ownership,block,unknown,basement,plastic,gas,entryphone,9118.11,3.41,Gajowice,Fabryczna
3411,primary,agency,465000.0,35.77,2,2023.0,floor_2,6.0,unknown,full_ownership,block,to_completion,"balcony, garage, lift",unknown,urban,0,12999.72,0.89,Przedmieście Świdnickie,Stare Miasto
3412,secondary,private,690000.0,74.0,3,1929.0,floor_1,4.0,brick,full_ownership,tenement,ready_to_use,"balcony, basement",plastic,gas,"entryphone, roller_shutters",9324.32,2.87,Borek,Krzyki
3413,primary,agency,461000.0,50.0,3,2023.0,ground_floor,4.0,unknown,full_ownership,block,unknown,"garage, garden, lift",plastic,unknown,0,9220.0,6.27,Jagodno,Krzyki
3414,secondary,agency,414998.0,53.7,3,,floor_2,2.0,unknown,unknown,block,to_renovation,separate_kitchen,unknown,urban,0,7728.08,0.91,Stare Miasto,Stare Miasto
3415,primary,agency,590000.0,50.0,2,2022.0,floor_1,9.0,unknown,full_ownership,apartment,to_completion,"balcony, garage, lift, separate_kitchen, terrace",plastic,urban,entryphone,11800.0,1.22,Szczepin,Stare Miasto
3416,primary,agency,573000.0,41.4,2,2023.0,floor_1,6.0,unknown,full_ownership,unknown,unknown,"balcony, garage, lift, terrace, usable_room",plastic,urban,monitoring,13840.58,2.35,Ołbin,Śródmieście
