ID,SLUG,MARKET_TYPE,TRANSACTION_TYPE,ESTATE_CATEGORY,USER_TYPE,PRICE,AREA,ROOMS_NUM,BUILD_YEAR,FLOOR_NUMBER,BUILDING_FLOORS_NUM,BUILDING_MATERIAL,BUILDING_OWNERSHIP,BUILDING_TYPE,CONSTRUCTION_STATUS,EXTRAS_TYPES,EQUIPMENT_TYPES,WINDOWS_TYPE,RENT,HEATING,SECURITY_TYPES,COUNTRY,PROVINCE,SUBREGION,CITY,DISTRICT,SUBDISTRICT,STREET,LATITUDE,LONGITUDE
63984065,12-pietro-widok-na-odre-prestiz-osiedle-centrum-ID4ktb3,primary,SELL,FLAT,agency,558000.0,33.88,2,2023.0,floor_higher_10,6.0,,full_ownership,apartment,,"balcony, garage, lift, terrace",,plastic,,urban,monitoring,Polska,dolnoslaskie,powiat-wroclaw,wroclaw,Śródmieście,,ul. Jedności Narodowej,51.12725172832389,17.052147808520502
63988508,gotowe-garderoba-oddz-kuchnia-taras-kameralnie-ID4kukI,primary,SELL,FLAT,agency,669800.0,71.33,3,2022.0,floor_2,2.0,,full_ownership,block,to_completion,"balcony, garage, lift, separate_kitchen, terrace, usable_room",,plastic,,,,Polska,dolnoslaskie,powiat-wroclaw,wroclaw,Swojczyce,,Murowana,51.11812674445434,17.125560719604508
63988513,gotowe-2pok-garderoba-wille-miejskie-taras-10m2-ID4kukN,primary,SELL,FLAT,agency,437800.0,44.0,2,2022.0,floor_2,2.0,,full_ownership,apartment,to_completion,"balcony, garage, lift, terrace, usable_room",,plastic,,,,Polska,dolnoslaskie,powiat-wroclaw,wroclaw,Swojczyce,,Murowana,51.11882714490565,17.125689465637222
63502794,2pok-balkon-7m2-przy-ostrowie-tumskim-premium-ID4irYC,primary,SELL,FLAT,agency,490000.0,27.14,2,2024.0,floor_4,6.0,,full_ownership,apartment,,"balcony, garage, lift, terrace",,plastic,,urban,,Polska,dolnoslaskie,powiat-wroclaw,wroclaw,Śródmieście,,,51.1163479,17.0547161
63644170,taras-26m2-ost-pietro-garderoba-park-kameralnie-ID4j2KS,primary,SELL,FLAT,agency,433000.0,50.0,3,2023.0,floor_3,3.0,,full_ownership,block,,"garage, lift, terrace, usable_room",,plastic,,urban,closed_area,Polska,dolnoslaskie,powiat-wroclaw,wroclaw,Brochów,,ul. Boiskowa,51.04739434591396,17.088427345507817
64009825,narozna17m2-loggia-odpoludniaoddzielna-kuchniawc-ID4kzSx,primary,SELL,FLAT,agency,540000.0,58.0,3,,ground_floor,4.0,,full_ownership,,to_completion,"balcony, garage, lift",,,,urban,,Polska,dolnoslaskie,powiat-wroclaw,wroclaw,Zakrzów,,,51.166509,17.14615
63664571,dwustronne-2-ogrody-przy-parku-lato-2023-ID4j83W,primary,SELL,FLAT,agency,452000.0,52.51,3,2023.0,ground_floor,4.0,,full_ownership,apartment,,"garage, garden, lift, terrace",,plastic,,urban,closed_area,Polska,dolnoslaskie,powiat-wroclaw,wroclaw,Brochów,,ul. Boiskowa,51.04790122598576,17.088733272552474
63691876,narozny-taras-82m2-ostatnie-pietro-2-lazienki-ID4jfak,primary,SELL,FLAT,agency,1039900.0,97.28,4,2023.0,floor_4,4.0,,full_ownership,block,to_completion,"balcony, garage, lift, terrace, usable_room",,plastic,,,,Polska,dolnoslaskie,powiat-wroclaw,wroclaw,Jagodno,,,51.05494,17.06005
64009743,nowe-5-pokojowe-mieszkanie-w-niskiej-cenie-ID4kzRd,secondary,SELL,FLAT,agency,780272.0,86.89,5,2022.0,floor_2,2.0,,,,,,,,,,,Polska,dolnoslaskie,powiat-wroclaw,wroclaw,Ołtaszyn,,ul. Obrońców Poczty Gdańskiej,51.14477,16.99314
64009740,nowe-3-pokojowe-mieszkanie-na-oltaszynie-ID4kzRa,secondary,SELL,FLAT,agency,601587.0,68.13,3,2022.0,floor_1,2.0,,,,,,,,,,,Polska,dolnoslaskie,powiat-wroclaw,wroclaw,Ołtaszyn,,ul. Obrońców Poczty Gdańskiej,51.10054,16.9492
64009742,nowe-4-pokojowe-mieszkanie-na-oltaszyn-ID4kzRc,secondary,SELL,FLAT,agency,734060.0,86.36,4,2022.0,floor_1,2.0,,,,,,,,,,,Polska,dolnoslaskie,powiat-wroclaw,wroclaw,Ołtaszyn,,ul. Obrońców Poczty Gdańskiej,51.13098,16.9492
64009724,4-pokojowe-mieszkanie-blisko-parku-ciche-i-jasne-ID4kzQU,secondary,SELL,FLAT,agency,1595000.0,109.0,4,2010.0,floor_2,2.0,,full_ownership,,,"balcony, garage, lift",,,,,,Polska,dolnoslaskie,powiat-wroclaw,wroclaw,Borek,,ul. Grójecka,51.07811,17.01813
64009573,2xhala-za-0pln-nowe-3pok-pod-inwestycje-6km-rynek-ID4kzOt,primary,SELL,FLAT,agency,471039.0,46.85,3,2023.0,floor_5,5.0,brick,full_ownership,block,to_completion,"balcony, garage, lift, usable_room",,plastic,,urban,"anti_burglary_door, closed_area, entryphone",Polska,dolnoslaskie,powiat-wroclaw,wroclaw,Jagodno,,,51.0669155769248,17.054041851806634
61916968,m-62m2-taras-3pok-680-000-pln-klecina-wroclaw-ID4bNqM,secondary,SELL,FLAT,agency,680000.0,60.4,3,,ground_floor,4.0,other,full_ownership,apartment,,"basement, lift, terrace",,plastic,690.0,urban,"anti_burglary_door, closed_area, entryphone, roller_shutters",Polska,dolnoslaskie,powiat-wroclaw,wroclaw,Klecina,,ul. Rodzinna,51.065376,16.9921331
63999288,okazja-3-pok-63-m-kw-piwnica-lesnica-ID4kx8A,secondary,SELL,FLAT,agency,495000.0,63.0,3,2004.0,floor_3,3.0,,,block,ready_to_use,"balcony, basement",furniture,,550.0,urban,,Polska,dolnoslaskie,powiat-wroclaw,wroclaw,Leśnica,,ul. Dolnobrzeska,51.1121412,16.9917834
63622390,polowa-domu-na-borku-taras-ogrod-ID4iX5A,secondary,SELL,FLAT,agency,860000.0,63.27,3,1969.0,ground_floor,1.0,,full_ownership,house,ready_to_use,"balcony, basement, garage, terrace",,,600.0,gas,,Polska,dolnoslaskie,powiat-wroclaw,wroclaw,Borek,,ul. Sokola,51.0827588,17.0071892
64009542,2-hale-gratis-do-mieszkania-7min-do-dworca-kolejka-ID4kzNY,primary,SELL,FLAT,agency,404138.0,40.09,2,2023.0,floor_1,5.0,brick,full_ownership,block,to_completion,"balcony, garage, lift, usable_room",,plastic,,urban,"anti_burglary_door, closed_area, entryphone",Polska,dolnoslaskie,powiat-wroclaw,wroclaw,Jagodno,,,51.06610651390285,17.05412768249511
63879001,2-pokojowe-mieszkanie-w-wyremontowanej-kamienicy-ID4k1Qt,secondary,SELL,FLAT,agency,400000.0,47.0,2,1920.0,ground_floor,4.0,other,full_ownership,tenement,,basement,,plastic,450.0,gas,entryphone,Polska,dolnoslaskie,powiat-wroclaw,wroclaw,Brochów,,ul. Ignacego Mościckiego,51.0598941,17.0863393
63880453,kameralne-zamkniete-osiedle-w-zielonej-dzielnicy-ID4k2dT,secondary,SELL,FLAT,agency,788000.0,69.01,3,2007.0,ground_floor,3.0,silikat,full_ownership,apartment,ready_to_use,"garage, terrace",,plastic,800.0,urban,"anti_burglary_door, entryphone, monitoring, roller_shutters",Polska,dolnoslaskie,powiat-wroclaw,wroclaw,Karłowice,,ul. Ignacego Chrzanowskiego,51.1428421,17.0481774
63882720,pelen-rozklad-obok-ul-legnickiej-popowice-ID4k2Os,secondary,SELL,FLAT,agency,479000.0,52.0,3,1975.0,floor_7,10.0,,full_ownership,block,,"balcony, lift",,plastic,450.0,urban,entryphone,Polska,dolnoslaskie,powiat-wroclaw,wroclaw,Popowice,,ul. Wejherowska,51.1294886,16.9856062
63883717,mieszkanie-z-balkonem-piechota-do-rynku-ID4k34x,secondary,SELL,FLAT,agency,520000.0,66.04,2,1960.0,floor_3,4.0,other,full_ownership,tenement,,"balcony, basement",,plastic,400.0,gas,"anti_burglary_door, entryphone",Polska,dolnoslaskie,powiat-wroclaw,wroclaw,Plac Grunwaldzki,,ul. Jedności Narodowej,51.123858,17.0448522
63870242,98-m2-na-borku-mozliwosc-wydzielenia-4-pokoju-ID4jZzc,secondary,SELL,FLAT,agency,890000.0,92.58,3,1920.0,floor_2,3.0,,full_ownership,tenement,,"balcony, basement",,plastic,1400.0,boiler_room,entryphone,Polska,dolnoslaskie,powiat-wroclaw,wroclaw,Borek,,ul. Gajowicka,51.0900196,17.0074738
63870623,duze-mieszkanie-z-40-metrowym-salonem-ID4jZFl,secondary,SELL,FLAT,agency,699000.0,80.1,3,2017.0,floor_1,4.0,silikat,full_ownership,block,ready_to_use,"balcony, garage, lift",,plastic,620.0,boiler_room,"anti_burglary_door, closed_area, entryphone",Polska,dolnoslaskie,powiat-wroclaw,wroclaw,Polanowice,,ul. Henryka Michała Kamieńskiego,51.1568406,17.0443512
